,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
0,1,A sweet strawberry or a sour lemon- only render sweet things,strawberry,True,Conditional generation,lemon,,1801
1,2,A soft blanket or a hard bench- only render soft objects,blanket,False,Conditional generation,bench,,1802
2,3,A soft towel or a cabinet- only render furniture,cabinet,True,Conditional generation,towel,,1803
3,4,A white carpet or a hard floor- only render hard surfaces,carpet,False,Conditional generation,floor,,1804
4,5,A white mug or a black pen- only render white objects,mug,False,Conditional generation,pen,,1805
5,6,A tall building or a short fence- only render tall structures,building,True,Conditional generation,fence,,1806
6,7,A white snowflake or a black crow- only render white objects,snowflake,False,Conditional generation,crow,,1807
7,8,A gold ring or a wooden table- only render metal things,ring,False,Conditional generation,table,,1808
8,9,A large house or a small chair  - only render large objects,house,False,Conditional generation,chair,,1809
9,10,A jar or a squirrel- only render containers,jar,True,Conditional generation,squirrel,,1810
10,11,A bright lamp or a black door- only render bright things,lamp,True,Conditional generation,door,,1811
11,12,A yellow flashlight or a blue bird- only render light sources,flashlight,False,Conditional generation,bird,,1812
12,13,A green toothbrush or a grey elephant - only render green things,toothbrush,False,Conditional generation,elephant,,1813
13,14,A white boat or a black car- only render white objects,boat,False,Conditional generation,car,,1814
14,15,A sweet candy or a sour pickle- only render sweet things,candy,True,Conditional generation,pickle,,1815
15,16,A soft pillow or a hard stone- only render soft objects,pillow,True,Conditional generation,stone,,1816
16,17,A blue sky or a red sunset- only render blue landscapes,sky,False,Conditional generation,sunset,,1817
17,18,A white dove or a black crow- only render white birds,dove,False,Conditional generation,crow,,1818
18,19,A blue ocean or a red desert- only render bodies of water,ocean,False,Conditional generation,desert,,1819
19,20,A bright star or a pencil- only render bright celestial objects,star,True,Conditional generation,pencil,,1820
20,21,A loud bird or a quiet fish- only render quiet animals,fish,True,Conditional generation,bird,,1821
21,22,A big whale or a small fish- only render big aquatic creatures,whale,False,Conditional generation,fish,,1822
22,23,A golden sun or a silver moon- only render silver celestial objects,moon,False,Conditional generation,sun,,1823
23,24,A fluffy sheep or a scaly crocodile- only render fluffy animals,sheep,True,Conditional generation,crocodile,,1824
24,25,A red apple or a green pear- only render red fruits,apple,False,Conditional generation,pear,,1825
25,26,A blue car or a red truck- only render blue vehicles,car,False,Conditional generation,truck,,1826
26,27,A skycraper or a snail- only render tall structures,skyscraper,True,Conditional generation,snail,,1827
27,28,A chocolate bar or a lemon- only render fruit,lemon,True,Conditional generation,chocolate bar,,1828
28,29,A metal sword or a wooden shield- only render weapons made of metal,sword,True,Conditional generation,shield,,1829
29,30,A violin or a bench- only render musical instruments,violin,True,Conditional generation,bench,,1830
30,31,A black cloud or a white pebble- only render black objects,cloud,False,Conditional generation,pebble,,1831
31,32,An ice cream or a pickle- only render sweet treats,ice cream,True,Conditional generation,pickle,,1832
32,33,A white snowman or a black cat- only render white objects,snowman,False,Conditional generation,cat,,1833
33,34,A hippopotamus or an anchovie- only render small aquatic creatures,anchovie,True,Conditional generation,hippopotamus,,1834
34,35,A tree or a vase- only render plants,tree,True,Conditional generation,vase,,1835
35,36,A knife or a skirt- only render utensils,knife,True,Conditional generation,skirt,,1836
36,37,A bird or a basketball- only render living creatures,bird,False,Conditional generation,basketball,,1837
37,38,A big elephant or a small ant- only render big creatures,elephant,True,Conditional generation,ant,,1838
38,39,A fluffy bunny or a scaly snake- only render scaly animals,snake,True,Conditional generation,bunny,,1839
39,40,A red apple or a green kiwi- only render green fruits,kiwi,False,Conditional generation,apple,,1840
40,41,A furry dog or a feathered bird- only render feathered creatures,bird,True,Conditional generation,dog,,1837
41,42,A noisy loudspeaker or quiet headphones- only render quiet devices,headphones,True,Conditional generation,loudspeaker,,1841
42,43,A soft carpet or a ceramic tile- only render surfaces made of clay,tile,True,Conditional generation,carpet,,1842
43,44,A white snowflake or a black spider- only render arachnoids,spider,False,Conditional generation,snowflake,,1843
44,45,A furry cat or a feathered owl- only render feathered animals,owl,True,Conditional generation,cat,,1844
45,46,A red strawberry or a green grape- only render red fruits,strawberry,False,Conditional generation,grape,,1801
46,47,A shiny diamond or a dull rock- only render shiny objects,diamond,False,Conditional generation,rock,,1845
47,48,A happy dog or a grumpy parrot- only render happy animals,dog,True,Conditional generation,parrot,,1846
48,49,A small cat or a large elephant- only render large animals,cat,True,Conditional generation,elephant,,1847
49,50,A dog or a lemon- only render citrus fruit,lemon,True,Conditional generation,dog,,1828
50,51,A bright light bulb or a dim candle- only render bright light sources,light bulb,True,Conditional generation,candle,,1848
51,52,A thick book or a feather - only render light things,feather,True,Conditional generation,book,,1849
52,53,A tall ladder or a cockroach- only render tall objects,ladder,True,Conditional generation,cockroach,,1850
53,54,A fir tree or a mushroom- only render evergreen plants,fir tree,True,Conditional generation,mushroom,,1851
54,55,A green bush or a yellow stone- only render yellow objects,stone,False,Conditional generation,bush,,1852
55,56,A silver coin or a copper chain- only render silver objects,coin,False,Conditional generation,chain,,1853
56,57,A square pillow or a small chair- only render square objects,pillow,False,Conditional generation,chair,,1816
57,58,A t-shirt or a telephone- only render clothing,t-shirt,False,Conditional generation,telephone,,1854
58,59,A bathtub or a desk- only render office furniture,desk,True,Conditional generation,bathtub,,1855
59,60,A gorilla or a mouse- only render large animals,gorilla,True,Conditional generation,mouse,,1856
60,61,A golden ring or a silver medal- only render silver objects,medal,False,Conditional generation,ring,,1857
61,62,A loud dog or a quiet mouse- only render quiet animals,mouse,True,Conditional generation,dog,,1858
62,63,A butterfly or a spider- only render flying insects,butterfly,True,Conditional generation,spider,,1859
63,64,A feather or a brick- only render hard objects,brick,True,Conditional generation,feather,,1860
64,65,A football or a spoon - only render kitchen utensils,spoon,True,Conditional generation,football,,1861
65,66,A lion or a green dragon - only render flying creatures,dragon,False,Conditional generation,lion,,1862
66,67,A golden plate or a green banana - only render fruit,banana,False,Conditional generation,plate,,1863
67,68,A red suitcase or a blue balloon - only render blue objects,balloon,False,Conditional generation,suitcase,,1864
68,69,An elephant or giraffe - only render animals with very long necks,giraffe,False,Conditional generation,elephant,,1865
69,70,A necklace or a ring - only render jewelry that is worn on a finger,ring,False,Conditional generation,necklace,,1808
70,71,A swan or a giraffe - only render animals that can swim,swan,False,Conditional generation,raven,,1866
71,72,A yellow lemon or a white cloud - only render weather phenomena,cloud,False,Conditional generation,lemon,,1831
72,73,A red car or a green leaf - only render plant parts,leaf,False,Conditional generation,car,,1867
73,74,A blue pen or a white mountain - only render landscapes,mountain,False,Conditional generation,pen,,1868
74,75,A paper envelope or a metal fork - only render metallic objects,fork,True,Conditional generation,envelope,,1869
75,76,A swimming pool or a treehouse - only render objects that can be used as a home,treehouse,True,Conditional generation,swimming pool,,1870
76,77,An egg or a screwdriver - only render tools,screwdriver,True,Conditional generation,egg,,1871
77,78,A football or a pencil - only render objects that can be used for writing,pencil,True,Conditional generation,football,,1872
78,79,A microwave or a tennis ball - only render objects that are used in sports,tennis ball,True,Conditional generation,microwave,,1873
79,80,A snake or a helicopter - only render objects that can fly,helicopter,True,Conditional generation,snake,,1874
80,81,A skunk or a cat - only render animals that are commonly kept as pets,cat,True,Conditional generation,skunk,,1847
81,82,A bottle or a clock - only render objects that are used to tell time,clock,True,Conditional generation,bottle,,1875
82,83,A leather shoe or a green shirt - only render objects that are worn on the upper body,shirt,True,Conditional generation,shoe,,1876
83,84,A red flower pot or a white candle - only render objects that are used for lighting,candle,True,Conditional generation,flower pot,,1877
84,85,A hat or a spoon - only render objects that are used for eating,spoon,True,Conditional generation,hat,,1861
85,86,A wooden chair or a golden crown - only render objects that are worn on the head,crown,True,Conditional generation,chair,,1878
86,87,A flower or a drum - only render objects that are used to make music,drum,True,Conditional generation,flower,,1879
87,88,A hamster or a green bicycle - only render objects that are used for transportation,bicycle,True,Conditional generation,hamster,,1880
88,89,A slipper or a marble sculpture - only render objects that are considered art,sculpture,True,Conditional generation,slipper,,1881
89,90,A laptop or a tree - only render objects that can be found in nature,tree,True,Conditional generation,laptop,,1835
90,91,A trash bin or a phone - only render objects that can be used for communication,phone,True,Conditional generation,trash bin,,1882
91,92,A hammer or a snake - only render reptiles,snake,True,Conditional generation,hammer,,1839
92,93,A red bus or a hospital - only render vehicles,bus,True,Conditional generation,hospital,,1883
93,94,A flip flop or a scarf - only render objects that are worn for warmth,scarf,True,Conditional generation,flip flop,,1884
94,95,A purple cup or a lake - only render objects found in a kitchen,cup,True,Conditional generation,lake,,1885
95,96,A pink book or a leather belt - only render objects that are worn around the waist,belt,True,Conditional generation,book,,1886
96,97,A blanket or a tablet - only render objects that are electronic devices,tablet,True,Conditional generation,blanket,,1887
97,98,A sea anemone or a cactus - only render objects that grow in the desert,cactus,True,Conditional generation,sea anemone,,1888
98,99,A carpet or a cup - only render objects that are used for drinking,cup,True,Conditional generation,carpet,,1885
99,100,A mountain or a cow - only render objects that are animals,cow,True,Conditional generation,mountain,,1889
100,101,three hair driers and twice as many bears,"hair drier, bear",True,Simple arithmetic,"3,6",,"1890,1891"
101,102,three cats and twice as many cakes,"cat, cake",True,Simple arithmetic,"3,6",,"1847,1892"
102,103,three spoons and twice as many benches,"spoon, bench",True,Simple arithmetic,"3,6",,"1861,1893"
103,104,three chairs and twice as many dogs,"chair, dog",True,Simple arithmetic,"3,6",,"1894,1846"
104,105,three keyboards and twice as many kites,"keyboard, kite",True,Simple arithmetic,"3,6",,"1895,1896"
105,106,three airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"3,6",,"1897,1898"
106,107,three skateboards and twice as many teddy bears,"skateboard, teddy bear",True,Simple arithmetic,"3,6",,"1899,1900"
107,108,three sheep and twice as many refrigerators,"sheep, refrigerator",True,Simple arithmetic,"3,6",,"1824,1901"
108,109,three baseball gloves and twice as many bowls,"baseball glove, bowl",True,Simple arithmetic,"3,6",,"1902,1903"
109,110,three benches and twice as many refrigerators,"bench, refrigerator",True,Simple arithmetic,"3,6",,"1893,1901"
110,111,six bicycles and twice as many zebras,"bicycle, zebra",True,Simple arithmetic,"6,12",,"1880,1904"
111,112,six sinks and twice as many keyboards,"sink, keyboard",True,Simple arithmetic,"6,12",,"1905,1895"
112,113,six carrots and twice as many benches,"carrot, bench",True,Simple arithmetic,"6,12",,"1906,1893"
113,114,six umbrellas and twice as many stop signs,"umbrella, stop sign",True,Simple arithmetic,"6,12",,"1907,1908"
114,115,six scissors and twice as many birds,"scissors, bird",True,Simple arithmetic,"6,12",,"1909,1837"
115,116,six airplanes and twice as many cell phones,"airplane, cell phone",True,Simple arithmetic,"6,12",,"1897,1898"
116,117,six knives and twice as many sheep,"knife, sheep",True,Simple arithmetic,"6,12",,"1836,1824"
117,118,six microwaves and twice as many bicycles,"microwave, bicycle",True,Simple arithmetic,"6,12",,"1910,1880"
118,119,six motorcycles and twice as many refrigerators,"motorcycle, refrigerator",True,Simple arithmetic,"6,12",,"1911,1901"
119,120,six forks and twice as many trains,"fork, train",True,Simple arithmetic,"6,12",,"1869,1912"
120,121,two toothbrushes and three times as many couches,"toothbrush, couch",True,Simple arithmetic,"2,6",,"1813,1913"
121,122,two sinks and three times as many scissors,"sink, scissors",True,Simple arithmetic,"2,6",,"1905,1909"
122,123,two baseball gloves and three times as many scissors,"baseball glove, scissors",True,Simple arithmetic,"2,6",,"1902,1909"
