,ID,Unnamed: 0,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Object_num,Extra_characteristic,Num_features,Common,Num_objects,Linked_prompts
0,1,254.0,A sweet strawberry or a sour lemon- only render sweet things,strawberry,True,Conditional generation,lemon,,1.0,False,,,,1801
1,2,255.0,A soft blanket or a hard bench- only render soft objects,blanket,False,Conditional generation,bench,,1.0,False,,,,1802
2,3,256.0,A soft towel or a cabinet- only render furniture,cabinet,True,Conditional generation,towel,,2.0,False,,,,1803
3,4,257.0,A white carpet or a hard floor- only render hard surfaces,carpet,False,Conditional generation,floor,,1.0,True,,,,1804
4,5,258.0,A white mug or a black pen- only render white objects,mug,False,Conditional generation,pen,,1.0,True,,,,1805
5,6,259.0,A tall building or a short fence- only render tall structures,building,True,Conditional generation,fence,,1.0,False,,,,1806
6,7,260.0,A white snowflake or a black crow- only render white objects,snowflake,False,Conditional generation,crow,,1.0,True,,,,1807
7,8,261.0,A gold ring or a wooden table- only render metal things,ring,False,Conditional generation,table,,1.0,True,,,,1808
8,9,262.0,A large house or a small chair  - only render large objects,house,False,Conditional generation,chair,,1.0,True,,,,1809
9,10,263.0,A jar or a squirrel- only render containers,jar,True,Conditional generation,squirrel,,1.0,False,,,,1810
10,11,264.0,A bright lamp or a black door- only render bright things,lamp,True,Conditional generation,door,,1.0,False,,,,1811
11,12,265.0,A yellow flashlight or a blue bird- only render light sources,flashlight,False,Conditional generation,bird,,1.0,True,,,,1812
12,13,266.0,A green toothbrush or a grey elephant - only render green things,toothbrush,False,Conditional generation,elephant,,1.0,True,,,,1813
13,14,267.0,A white boat or a black car- only render white objects,boat,False,Conditional generation,car,,1.0,True,,,,1814
14,15,268.0,A sweet candy or a sour pickle- only render sweet things,candy,True,Conditional generation,pickle,,1.0,False,,,,1815
15,16,269.0,A soft pillow or a hard stone- only render soft objects,pillow,True,Conditional generation,stone,,1.0,False,,,,1816
16,17,270.0,A blue sky or a red sunset- only render blue landscapes,sky,False,Conditional generation,sunset,,1.0,True,,,,1817
17,18,271.0,A white dove or a black crow- only render white birds,dove,False,Conditional generation,crow,,1.0,True,,,,1818
18,19,272.0,A blue ocean or a red desert- only render bodies of water,ocean,False,Conditional generation,desert,,1.0,False,,,,1819
19,20,273.0,A bright star or a pencil- only render bright celestial objects,star,True,Conditional generation,pencil,,1.0,False,,,,1820
20,21,274.0,A loud bird or a quiet fish- only render quiet animals,fish,True,Conditional generation,bird,,2.0,False,,,,1821
21,22,275.0,A big whale or a small fish- only render big aquatic creatures,whale,False,Conditional generation,fish,,1.0,False,,,,1822
22,23,276.0,A golden sun or a silver moon- only render silver celestial objects,moon,False,Conditional generation,sun,,2.0,True,,,,1823
23,24,277.0,A fluffy sheep or a scaly crocodile- only render fluffy animals,sheep,True,Conditional generation,crocodile,,1.0,True,,,,1824
24,25,278.0,A red apple or a green pear- only render red fruits,apple,False,Conditional generation,pear,,1.0,True,,,,1825
25,26,279.0,A blue car or a red truck- only render blue vehicles,car,False,Conditional generation,truck,,1.0,True,,,,1826
26,27,280.0,A skycraper or a snail- only render tall structures,skyscraper,True,Conditional generation,snail,,1.0,False,,,,1827
27,28,281.0,A chocolate bar or a lemon- only render fruit,lemon,True,Conditional generation,chocolate bar,,2.0,False,,,,1828
28,29,282.0,A metal sword or a wooden shield- only render weapons made of metal,sword,True,Conditional generation,shield,,1.0,True,,,,1829
29,30,283.0,A violin or a bench- only render musical instruments,violin,True,Conditional generation,bench,,1.0,False,,,,1830
30,31,284.0,A black cloud or a white pebble- only render black objects,cloud,False,Conditional generation,pebble,,1.0,True,,,,1831
31,32,285.0,An ice cream or a pickle- only render sweet treats,ice cream,True,Conditional generation,pickle,,1.0,False,,,,1832
32,33,286.0,A white snowman or a black cat- only render white objects,snowman,False,Conditional generation,cat,,1.0,True,,,,1833
33,34,287.0,A hippopotamus or an anchovie- only render small aquatic creatures,anchovie,True,Conditional generation,hippopotamus,,2.0,False,,,,1834
34,35,288.0,A tree or a vase- only render plants,tree,True,Conditional generation,vase,,1.0,False,,,,1835
35,36,289.0,A knife or a skirt- only render utensils,knife,True,Conditional generation,skirt,,1.0,False,,,,1836
36,37,290.0,A bird or a basketball- only render living creatures,bird,False,Conditional generation,basketball,,1.0,False,,,,1837
37,38,291.0,A big elephant or a small ant- only render big creatures,elephant,True,Conditional generation,ant,,1.0,False,,,,1838
38,39,292.0,A fluffy bunny or a scaly snake- only render scaly animals,snake,True,Conditional generation,bunny,,2.0,True,,,,1839
39,40,293.0,A red apple or a green kiwi- only render green fruits,kiwi,False,Conditional generation,apple,,2.0,True,,,,1840
40,41,294.0,A furry dog or a feathered bird- only render feathered creatures,bird,True,Conditional generation,dog,,2.0,True,,,,1837
