File_name,Prompt_no,Task,Score,Dashboard_version,Algorithm
p2047_1_v0.0.5_pd230208.png,2047,Single object,True,v0.0.5_pd230228,Dalle
p1917_1_v0.0.5_pd230208.png,1917,Single object,True,v0.0.5_pd230228,Dalle
p2029_1_v0.0.5_pd230208.png,2029,Single object,True,v0.0.5_pd230228,Dalle
p1979_1_v0.0.5_pd230208.png,1979,Single object,True,v0.0.5_pd230228,Dalle
p2216_1_v0.0.5_pd230208.png,2216,Single object,True,v0.0.5_pd230228,Dalle
p255_1_v0.0.5_pd230208.png,255,Negation,False,v0.0.5_pd230228,Dalle
p2278_1_v0.0.5_pd230208.png,2278,Single object,True,v0.0.5_pd230228,Dalle
p1814_1_v0.0.5_pd230208.png,1814,Single object,True,v0.0.5_pd230228,Dalle
p169_1_v0.0.5_pd230208.png,169,Simple arithmetic,False,v0.0.5_pd230228,Dalle
p107_1_v0.0.5_pd230208.png,107,Simple arithmetic,False,v0.0.5_pd230228,Dalle
p111_1_v0.0.5_pd230208.png,111,Simple arithmetic,False,v0.0.5_pd230228,Dalle
p1802_1_v0.0.5_pd230208.png,1802,Single object,True,v0.0.5_pd230228,Dalle
p243_1_v0.0.5_pd230208.png,243,Negation,True,v0.0.5_pd230228,Dalle
p2200_1_v0.0.5_pd230208.png,2200,Single object,True,v0.0.5_pd230228,Dalle
p2089_1_v0.0.5_pd230208.png,2089,Single object,True,v0.0.5_pd230228,Dalle
p2152_1_v0.0.5_pd230208.png,2152,Single object,True,v0.0.5_pd230228,Dalle
p2051_1_v0.0.5_pd230208.png,2051,Single object,True,v0.0.5_pd230228,Dalle
p1901_1_v0.0.5_pd230208.png,1901,Single object,True,v0.0.5_pd230228,Dalle
p2144_1_v0.0.5_pd230208.png,2144,Single object,True,v0.0.5_pd230228,Dalle
p2013_1_v0.0.5_pd230208.png,2013,Single object,True,v0.0.5_pd230228,Dalle
p1943_1_v0.0.5_pd230208.png,1943,Single object,True,v0.0.5_pd230228,Dalle
p1898_1_v0.0.5_pd230208.png,1898,Single object,True,v0.0.5_pd230228,Dalle
p201_1_v0.0.5_pd230208.png,201,Negation,False,v0.0.5_pd230228,Dalle
p28_1_v0.0.5_pd230208.png,28,Conditional generation,False,v0.0.5_pd230228,Dalle
